S.No,Word,Split,Type
0,श्रीमद्भगवद्गीता,श्रीमत् भगवत् गीता,consonant
1.1.4,किमकुर्वत,किम् अकुर्वत,consonant
1.1.3,पाण्डवाश्चैव,पाण्डवाः च एव,consonant
1.1.2,समवेतायुयुत्सवः,समवेताः युयुत्सवः,visarga
1.1.1,धृतराष्ट्रउवाच,धृतराष्ट्रः उवाच,visarga
1.2.3,आचार्यमुपसङ्गम्य,आचार्यम् उपसङ्गम्य,consonant
1.2.2,पाण्डवानीकंव्यूढंदुर्योधनस्तदा,पाण्डव आनीकम् व्यूढम् दुर्योधनः तदा,consonant
1.2.1,सञ्जयउवाच,सञ्जयः उवाच,visarga
1.3.3,व्यूढांद्रुपदपुत्रेण,व्यूढाम् द्रुपदपुत्रेण,consonant
1.3.2,महतींचमूम्,महतीम् चमूम्,consonant
1.3.1,पश्यैतांपाण्डुपुत्राणामाचार्य,पश्य एताम् पाण्डुपुत्राणाम् आचार्य,consonant
1.4.3,द्रुपदश्च,द्रुपदः च,visarga
1.4.2,युयुधानोविराटश्च,युयुधानः विराटः च,visarga
1.4.1,शूरामहेष्वासाभीमार्जुनसमायुधि,शूराः महेष्वासाः भीम अर्जुनसमाः युधि,consonant
1.5.5,नरपुङ्गवः,नर पुङ्गवः,consonant
1.5.4,शैब्यश्च,शैब्यः च,visarga
1.5.3,पुरुजित्कुन्तिभोजश्च,पुरुजित्कुन्तिभोजः च,consonant
1.5.2,काशिराजश्च,काशिराजः च,consonant
1.5.1,धृष्टकेतुश्चेकितानः,धृष्टकेतुः चेकितानः,consonant
1.6.3,सौभद्रोद्रौपदेयाश्च,सौभद्रः द्रौपदेयाः च,visarga
1.6.2,उत्तमौजाश्च,उत्तम ओजाः च,consonant
1.6.1,युधामन्युश्च,युधामन्युः च,consonant
1.7.5,सञ्ज्ञार्थम्तान्ब्रवीमि,सञ्ज्ञा अर्थम् तान् ब्रवीमि,consonant
1.7.4,नायकामम,नायकाः मम,visarga
